deep,dbdeep,user,a20department,board,董事會,
deep,dbdeep,user,a20department,general,總管理部,
deep,dbdeep,user,a20department,expertize,專業服務部,
deep,dbdeep,user,a20department,marketing,行銷部,
deep,dbdeep,user,a20department,fianacil,財務會計處,
deep,dbdeep,user,a20department,humanresource,人力資源處,
deep,dbdeep,user,a20department,ICT,資通訊處,
deep,dbdeep,user,a20department,support,總務處,
deep,dbdeep,user,a20department,adhoc,其他部門或任務編組,
deep,dbdeep,user,a45group,admin,系統管理員,
deep,dbdeep,user,a45group,super,最高權限,
deep,dbdeep,user,a45group,developer,程式開發者,
deep,dbdeep,user,a45group,api,控制程式,
deep,dbdeep,user,a45group,management,管理階層,
deep,dbdeep,user,a45group,staff,職員,
deep,dbdeep,user,a45group,tester,系統測試員,
deep,dbdeep,user,a45group,client,客戶,
deep,dbdeep,user,a45group,guest,網站訪客,
deep,dbdeep,userright,a10operation,read,只能讀取,
deep,dbdeep,userright,a10operation,write,可寫入,自動含低一層權利
deep,dbdeep,userright,a10operation,run,可執行程式,自動含低一層權利
deep,dbdeep,userright,a10operation,delete,可刪除,自動含低一層權利
deep,dbdeep,userright,a10operation,auditer,可檢視歷程資料,自動含低一層權利
deep,dbdeep,userright,a10operation,developer,對檔案的全部權限,自動含低一層權利
deep,dbdeep,userright,a10operation,admin,所有權限,自動含低一層權利
deep,dbdeep,userright,a20scope,open,對外公布資訊,等級0
deep,dbdeep,userright,a21scope,limit,對外限閱資訊,等級1
deep,dbdeep,userright,a22scope,worktodo4staff,個人業務一般資訊,等級2
,,userright,a22scope,worktodo4dept,單位業務一般資訊,等級3
,,userright,a22scope,data4firm,全企業一般資訊,等級4
deep,dbdeep,userright,a22scope,credential4staff,個人業務機密資訊,等級5
,,userright,a22scope,customerinfo,客戶個資,等級6
,,userright,a22scope,personnel,員工個資,等級7
deep,dbdeep,userright,a22scope,credential4dept,單位業務機密資訊,等級8
,,userright,a22scope,credential4firm,全企業機密資訊,等級9
,,userright,a22scope,topsecret,極機密,等級10
deep,dbdeep,userright,a30dboperate,query,可查詢,
deep,dbdeep,userright,a30dboperate,create,可寫入,自動含低一層權利
deep,dbdeep,userright,a30dboperate,update,可更新,自動含低一層權利
deep,dbdeep,userright,a30dboperate,delete,可刪除,自動含低一層權利
deep,dbdeep,userright,a30dboperate,auditer,可檢視歷程資料,自動含低一層權利
deep,dbdeep,userright,a30dboperate,developer,對檔案庫的全部權限,自動含低一層權利
deep,dbdeep,userright,a30dboperate,admin,所有權限,自動含低一層權利